zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-23T00:00:00+02:00,2026-09-22T22:00:00+00:00,34.6,False,39.6,True,EUR/MWh
SE1,2026-09-23T00:15:00+02:00,2026-09-22T22:15:00+00:00,53.89,False,58.89,True,EUR/MWh
SE1,2026-09-23T00:30:00+02:00,2026-09-22T22:30:00+00:00,33.4,False,38.4,True,EUR/MWh
SE1,2026-09-23T00:45:00+02:00,2026-09-22T22:45:00+00:00,33.1,False,38.1,True,EUR/MWh
SE1,2026-09-23T01:00:00+02:00,2026-09-22T23:00:00+00:00,66.32,False,71.32,True,EUR/MWh
SE1,2026-09-23T01:15:00+02:00,2026-09-22T23:15:00+00:00,29.5,False,34.5,True,EUR/MWh
SE1,2026-09-23T01:30:00+02:00,2026-09-22T23:30:00+00:00,29.7,False,34.7,True,EUR/MWh
SE1,2026-09-23T01:45:00+02:00,2026-09-22T23:45:00+00:00,29.2,False,34.2,True,EUR/MWh
SE1,2026-09-23T02:00:00+02:00,2026-09-23T00:00:00+00:00,31.0,False,36.0,True,EUR/MWh
SE1,2026-09-23T02:15:00+02:00,2026-09-23T00:15:00+00:00,31.2,False,36.2,True,EUR/MWh
SE1,2026-09-23T02:30:00+02:00,2026-09-23T00:30:00+00:00,31.0,False,36.0,True,EUR/MWh
SE1,2026-09-23T02:45:00+02:00,2026-09-23T00:45:00+00:00,61.75,False,66.75,True,EUR/MWh
SE1,2026-09-23T03:00:00+02:00,2026-09-23T01:00:00+00:00,31.7,False,36.7,True,EUR/MWh
SE1,2026-09-23T03:15:00+02:00,2026-09-23T01:15:00+00:00,32.9,False,37.9,True,EUR/MWh
SE1,2026-09-23T03:30:00+02:00,2026-09-23T01:30:00+00:00,33.21,False,38.21,True,EUR/MWh
SE1,2026-09-23T03:45:00+02:00,2026-09-23T01:45:00+00:00,64.48,False,69.48,True,EUR/MWh
SE1,2026-09-23T04:00:00+02:00,2026-09-23T02:00:00+00:00,30.3,False,35.3,True,EUR/MWh
SE1,2026-09-23T04:15:00+02:00,2026-09-23T02:15:00+00:00,30.5,False,35.5,True,EUR/MWh
SE1,2026-09-23T04:30:00+02:00,2026-09-23T02:30:00+00:00,88.4,False,93.4,True,EUR/MWh
SE1,2026-09-23T04:45:00+02:00,2026-09-23T02:45:00+00:00,33.0,False,38.0,True,EUR/MWh
SE1,2026-09-23T05:00:00+02:00,2026-09-23T03:00:00+00:00,77.68,False,82.68,True,EUR/MWh
SE1,2026-09-23T05:15:00+02:00,2026-09-23T03:15:00+00:00,43.8,False,48.8,True,EUR/MWh
SE1,2026-09-23T05:30:00+02:00,2026-09-23T03:30:00+00:00,46.2,False,51.2,True,EUR/MWh
SE1,2026-09-23T05:45:00+02:00,2026-09-23T03:45:00+00:00,46.6,False,51.6,True,EUR/MWh
SE1,2026-09-23T06:00:00+02:00,2026-09-23T04:00:00+00:00,8.1,False,13.1,True,EUR/MWh
SE1,2026-09-23T06:15:00+02:00,2026-09-23T04:15:00+00:00,20.56,False,25.56,True,EUR/MWh
SE1,2026-09-23T06:30:00+02:00,2026-09-23T04:30:00+00:00,59.2,False,64.2,True,EUR/MWh
SE1,2026-09-23T06:45:00+02:00,2026-09-23T04:45:00+00:00,136.82,False,141.82,True,EUR/MWh
SE1,2026-09-23T07:00:00+02:00,2026-09-23T05:00:00+00:00,28.63,False,33.63,True,EUR/MWh
SE1,2026-09-23T07:15:00+02:00,2026-09-23T05:15:00+00:00,73.91,False,78.91,True,EUR/MWh
SE1,2026-09-23T07:30:00+02:00,2026-09-23T05:30:00+00:00,75.5,False,80.5,True,EUR/MWh
SE1,2026-09-23T07:45:00+02:00,2026-09-23T05:45:00+00:00,75.5,False,80.5,True,EUR/MWh
SE1,2026-09-23T08:00:00+02:00,2026-09-23T06:00:00+00:00,108.68,False,113.68,True,EUR/MWh
SE1,2026-09-23T08:15:00+02:00,2026-09-23T06:15:00+00:00,116.78,False,121.78,True,EUR/MWh
SE1,2026-09-23T08:30:00+02:00,2026-09-23T06:30:00+00:00,122.53,False,127.53,True,EUR/MWh
SE1,2026-09-23T08:45:00+02:00,2026-09-23T06:45:00+00:00,128.75,False,133.75,True,EUR/MWh
SE1,2026-09-23T09:00:00+02:00,2026-09-23T07:00:00+00:00,124.2,False,129.2,True,EUR/MWh
SE1,2026-09-23T09:15:00+02:00,2026-09-23T07:15:00+00:00,127.88,False,132.88,True,EUR/MWh
SE1,2026-09-23T09:30:00+02:00,2026-09-23T07:30:00+00:00,141.0,False,146.0,True,EUR/MWh
SE1,2026-09-23T09:45:00+02:00,2026-09-23T07:45:00+00:00,125.31,False,130.31,True,EUR/MWh
SE1,2026-09-23T10:00:00+02:00,2026-09-23T08:00:00+00:00,128.55,False,133.55,True,EUR/MWh
