series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,41.7169,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,31.4425,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,22.6006,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,17.4688,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,16.3716,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,25.1681,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,31.1619,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,31.4312,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,33.1056,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,59.7412,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,58.0752,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,37.9286,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,57.2565,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,106.1177,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,64.3844,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,115.1089,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,157.7117,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,249.8056,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,292.3799,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,284.7928,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,283.4871,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,232.0367,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,237.4008,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,208.3423,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,3.1936,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,22.7491,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,-13.5827,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,-4.3093,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,-13.9716,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,94.6005,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,102.5063,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,148.7555,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,163.7176,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,201.1682,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,123.7558,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,111.3321,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,88.3893,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,36.4182,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,11.8619,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,176.457,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,228.6449,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,295.8587,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,361.11,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,351.6382,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,318.2765,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,279.1074,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,212.8982,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,247.9861,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,44.6022,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,46.2432,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,17.5319,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,7.242,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,0.2919,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,55.0356,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,83.8148,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,128.452,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,177.7518,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,110.254,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,79.7315,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,53.4064,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,23.3404,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,35.5494,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,2.5954,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,37.1084,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,178.736,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,445.2943,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,482.4554,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,483.8203,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,493.3138,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,457.7408,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,423.6773,,,SEK/MWh
power_price_SE3,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,332.5058,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,117.8731,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,122.3343,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,70.269,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,62.3346,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,60.834,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,136.7094,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,204.9959,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,296.3008,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,336.3209,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,280.5905,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,173.8616,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,123.807,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,130.0979,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,72.3066,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,48.9923,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,101.2826,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,364.8719,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,554.7769,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,758.5328,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,808.546,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,780.3119,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,621.7689,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,561.3355,,,SEK/MWh
power_price_SE4,Echo,v0.1,2026-09-19T11:01:17.010309+02:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,492.3204,,,SEK/MWh
