zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-20T00:00:00+02:00,2026-09-19T22:00:00+00:00,2.97,True,7.97,True,EUR/MWh
SE1,2026-09-20T00:15:00+02:00,2026-09-19T22:15:00+00:00,1.36,True,6.36,True,EUR/MWh
SE1,2026-09-20T00:30:00+02:00,2026-09-19T22:30:00+00:00,0.28,True,5.28,True,EUR/MWh
SE1,2026-09-20T00:45:00+02:00,2026-09-19T22:45:00+00:00,-0.23,True,4.77,True,EUR/MWh
SE1,2026-09-20T01:00:00+02:00,2026-09-19T23:00:00+00:00,-0.26,True,4.74,True,EUR/MWh
SE1,2026-09-20T01:15:00+02:00,2026-09-19T23:15:00+00:00,-0.25,True,4.75,True,EUR/MWh
SE1,2026-09-20T01:30:00+02:00,2026-09-19T23:30:00+00:00,-0.27,True,4.73,True,EUR/MWh
SE1,2026-09-20T01:45:00+02:00,2026-09-19T23:45:00+00:00,-0.25,True,4.75,True,EUR/MWh
SE1,2026-09-20T02:00:00+02:00,2026-09-20T00:00:00+00:00,-0.31,True,4.69,True,EUR/MWh
SE1,2026-09-20T02:15:00+02:00,2026-09-20T00:15:00+00:00,-0.32,True,4.68,True,EUR/MWh
SE1,2026-09-20T02:30:00+02:00,2026-09-20T00:30:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T02:45:00+02:00,2026-09-20T00:45:00+00:00,-0.43,True,4.57,True,EUR/MWh
SE1,2026-09-20T03:00:00+02:00,2026-09-20T01:00:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T03:15:00+02:00,2026-09-20T01:15:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T03:30:00+02:00,2026-09-20T01:30:00+00:00,-0.45,True,4.55,True,EUR/MWh
SE1,2026-09-20T03:45:00+02:00,2026-09-20T01:45:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T04:00:00+02:00,2026-09-20T02:00:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T04:15:00+02:00,2026-09-20T02:15:00+00:00,-0.71,True,4.29,True,EUR/MWh
SE1,2026-09-20T04:30:00+02:00,2026-09-20T02:30:00+00:00,-0.54,True,4.46,True,EUR/MWh
SE1,2026-09-20T04:45:00+02:00,2026-09-20T02:45:00+00:00,-0.56,True,4.44,True,EUR/MWh
SE1,2026-09-20T05:00:00+02:00,2026-09-20T03:00:00+00:00,-0.42,True,4.58,True,EUR/MWh
SE1,2026-09-20T05:15:00+02:00,2026-09-20T03:15:00+00:00,-0.44,True,4.56,True,EUR/MWh
SE1,2026-09-20T05:30:00+02:00,2026-09-20T03:30:00+00:00,-0.42,True,4.58,True,EUR/MWh
SE1,2026-09-20T05:45:00+02:00,2026-09-20T03:45:00+00:00,-0.33,True,4.67,True,EUR/MWh
SE1,2026-09-20T06:00:00+02:00,2026-09-20T04:00:00+00:00,-0.22,True,4.78,True,EUR/MWh
SE1,2026-09-20T06:15:00+02:00,2026-09-20T04:15:00+00:00,-0.17,True,4.83,True,EUR/MWh
SE1,2026-09-20T06:30:00+02:00,2026-09-20T04:30:00+00:00,-0.21,True,4.79,True,EUR/MWh
SE1,2026-09-20T06:45:00+02:00,2026-09-20T04:45:00+00:00,-0.24,True,4.76,True,EUR/MWh
SE1,2026-09-20T07:00:00+02:00,2026-09-20T05:00:00+00:00,-0.32,True,4.68,True,EUR/MWh
SE1,2026-09-20T07:15:00+02:00,2026-09-20T05:15:00+00:00,-0.32,True,4.68,True,EUR/MWh
SE1,2026-09-20T07:30:00+02:00,2026-09-20T05:30:00+00:00,-0.3,True,4.7,True,EUR/MWh
