series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,1,10.6808,,,True,10.41,9.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,2,10.7023,,,True,10.46,9.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,3,10.0,,,True,10.0,12.03,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,4,10.0,,,True,10.0,13.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,5,10.0,,,True,10.0,13.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,6,11.41,,,True,11.28,12.2,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,7,10.6315,,,True,10.6,10.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T06:00:00,2026-09-19T08:00:00+02:00,8,11.82,,,True,11.63,10.13,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T07:00:00,2026-09-19T09:00:00+02:00,9,10.1993,,,True,10.01,10.6,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T08:00:00,2026-09-19T10:00:00+02:00,10,10.3047,,,True,10.28,11.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T09:00:00,2026-09-19T11:00:00+02:00,11,10.6338,,,True,10.84,11.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T10:00:00,2026-09-19T12:00:00+02:00,12,11.4111,,,True,11.06,11.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T11:00:00,2026-09-19T13:00:00+02:00,13,11.9,,,True,11.8,10.53,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T12:00:00,2026-09-19T14:00:00+02:00,14,11.8642,,,True,11.89,10.64,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T13:00:00,2026-09-19T15:00:00+02:00,15,11.9334,,,True,11.95,11.8,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T14:00:00,2026-09-19T16:00:00+02:00,16,12.2674,,,True,12.34,12.03,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T15:00:00,2026-09-19T17:00:00+02:00,17,11.9442,,,True,11.89,11.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T16:00:00,2026-09-19T18:00:00+02:00,18,11.3798,,,True,11.12,12.21,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T17:00:00,2026-09-19T19:00:00+02:00,19,11.0,,,True,11.0,12.21,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T18:00:00,2026-09-19T20:00:00+02:00,20,10.3503,,,True,10.39,13.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T19:00:00,2026-09-19T21:00:00+02:00,21,11.9763,,,True,11.8,17.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T20:00:00,2026-09-19T22:00:00+02:00,22,11.9091,,,True,11.8,17.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T21:00:00,2026-09-19T23:00:00+02:00,23,12.8489,,,True,12.69,17.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,24,10.0383,0.8846,15.9845,False,,11.89,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,25,9.6855,-0.213,14.8396,False,,9.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,26,11.2097,1.4212,17.0825,False,,9.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,27,10.3798,2.0589,16.4037,False,,12.03,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,28,11.0853,3.2241,18.2984,False,,13.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,29,12.0547,4.2157,17.1843,False,,13.0,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,30,12.3389,4.6847,18.2927,False,,12.2,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,31,11.7999,2.6535,17.524,False,,10.7,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,32,11.6313,3.4714,17.9906,False,,10.13,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,33,12.2183,4.5859,19.2902,False,,10.6,EUR/MW
fcr_n_a1,2026-09-19T00:01:06.509324+02:00,2026-09-18T22:00:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,34,11.9545,2.7337,16.5069,False,,11.0,EUR/MW
