series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T16:00:00,2026-09-19T18:00:00+02:00,1,5.9502,,,True,6.0,6.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T17:00:00,2026-09-19T19:00:00+02:00,2,5.8766,,,True,6.0,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T18:00:00,2026-09-19T20:00:00+02:00,3,10.0,,,True,10.0,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T19:00:00,2026-09-19T21:00:00+02:00,4,10.0,,,True,10.0,25.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T20:00:00,2026-09-19T22:00:00+02:00,5,10.0,,,True,10.0,25.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T21:00:00,2026-09-19T23:00:00+02:00,6,10.0,,,True,10.0,25.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,7,10.9284,-0.5566,22.0867,False,,25.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,8,11.961,0.9128,21.5312,False,,15.9,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,9,10.7666,0.1641,23.3667,False,,15.9,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,10,10.7291,-0.9439,18.4563,False,,6.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,11,11.9905,-0.3376,19.7726,False,,6.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,12,10.3745,-3.8267,15.808,False,,3.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,13,10.7744,-2.3686,22.1616,False,,6.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,14,11.0669,-1.882,20.5304,False,,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,15,11.3627,-1.4909,22.4048,False,,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,16,9.3891,-5.5461,17.0485,False,,6.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,17,9.8372,-4.5287,17.061,False,,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,18,11.6264,-2.6472,22.2181,False,,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,19,12.0475,-2.0328,24.1954,False,,10.0,EUR/MW
fcr_n_a2,2026-09-19T17:01:02.307939+02:00,2026-09-19T15:00:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,20,10.6825,-3.7754,22.875,False,,10.0,EUR/MW
