series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-19T22:00:00,2026-09-20T00:00:00+02:00,55.0,0.0,150.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-19T23:00:00,2026-09-20T01:00:00+02:00,40.0,-5.0,130.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T00:00:00,2026-09-20T02:00:00+02:00,30.0,-10.0,115.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T01:00:00,2026-09-20T03:00:00+02:00,25.0,-10.0,110.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T02:00:00,2026-09-20T04:00:00+02:00,24.0,-10.0,110.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T03:00:00,2026-09-20T05:00:00+02:00,25.0,-8.0,115.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T04:00:00,2026-09-20T06:00:00+02:00,32.0,-5.0,130.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T05:00:00,2026-09-20T07:00:00+02:00,45.0,0.0,150.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T06:00:00,2026-09-20T08:00:00+02:00,60.0,0.0,180.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T07:00:00,2026-09-20T09:00:00+02:00,60.0,-5.0,190.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T08:00:00,2026-09-20T10:00:00+02:00,45.0,-10.0,170.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00+02:00,30.0,-15.0,150.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,18.0,-20.0,135.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,12.0,-25.0,125.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,15.0,-20.0,130.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,25.0,-15.0,160.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,50.0,-5.0,220.0,SEK/MWh
power_price_SE1,Scout,v0.1,2026-09-19T11:06:08.704545+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,85.0,0.0,300.0,SEK/MWh
