series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T16:00:00,2026-09-13T18:00:00+02:00,1,3.0,,,True,3.0,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T17:00:00,2026-09-13T19:00:00+02:00,2,5.6566,,,True,6.0,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T18:00:00,2026-09-13T20:00:00+02:00,3,2.8503,,,True,3.0,5.14,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T19:00:00,2026-09-13T21:00:00+02:00,4,1.0,,,True,1.0,5.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T20:00:00,2026-09-13T22:00:00+02:00,5,2.9741,,,True,3.0,3.6,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T21:00:00,2026-09-13T23:00:00+02:00,6,3.0662,,,True,2.0,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T22:00:00,2026-09-14T00:00:00+02:00,7,7.6717,-3.8132,18.83,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T23:00:00,2026-09-14T01:00:00+02:00,8,7.2305,-3.8178,16.8006,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T00:00:00,2026-09-14T02:00:00+02:00,9,8.0264,-2.5761,20.6265,False,,5.67,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T01:00:00,2026-09-14T03:00:00+02:00,10,7.9051,-3.7679,15.6323,False,,3.6,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T02:00:00,2026-09-14T04:00:00+02:00,11,7.4169,-4.9111,15.199,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T03:00:00,2026-09-14T05:00:00+02:00,12,8.9636,-5.2376,14.3971,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T04:00:00,2026-09-14T06:00:00+02:00,13,9.3657,-3.7772,20.7529,False,,5.71,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T05:00:00,2026-09-14T07:00:00+02:00,14,7.7298,-5.2191,17.1933,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T06:00:00,2026-09-14T08:00:00+02:00,15,7.8718,-4.9818,18.914,False,,5.29,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T07:00:00,2026-09-14T09:00:00+02:00,16,7.9987,-6.9366,15.6581,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T08:00:00,2026-09-14T10:00:00+02:00,17,8.1256,-6.2404,15.3493,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T09:00:00,2026-09-14T11:00:00+02:00,18,7.8123,-6.4613,18.404,False,,5.67,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T10:00:00,2026-09-14T12:00:00+02:00,19,8.6989,-5.3813,20.8468,False,,1.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T11:00:00,2026-09-14T13:00:00+02:00,20,9.1935,-5.2643,21.3861,False,,2.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T12:00:00,2026-09-14T14:00:00+02:00,21,10.2184,-3.7129,27.4331,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T13:00:00,2026-09-14T15:00:00+02:00,22,9.2722,-4.8115,19.7264,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T14:00:00,2026-09-14T16:00:00+02:00,23,10.178,-4.2213,22.8447,False,,5.14,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T15:00:00,2026-09-14T17:00:00+02:00,24,11.6842,-2.982,20.812,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T16:00:00,2026-09-14T18:00:00+02:00,25,13.0517,-1.8436,18.1582,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T17:00:00,2026-09-14T19:00:00+02:00,26,12.6673,-0.3249,20.2033,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T18:00:00,2026-09-14T20:00:00+02:00,27,15.1036,1.3898,20.6796,False,,5.14,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T19:00:00,2026-09-14T21:00:00+02:00,28,15.5869,2.7489,22.5787,False,,5.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T20:00:00,2026-09-14T22:00:00+02:00,29,12.975,0.7138,23.5683,False,,3.6,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T21:00:00,2026-09-14T23:00:00+02:00,30,14.2366,5.6057,24.8882,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T22:00:00,2026-09-15T00:00:00+02:00,31,10.9855,-1.5969,22.5622,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-14T23:00:00,2026-09-15T01:00:00+02:00,32,10.8357,-0.0168,20.377,False,,6.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T00:00:00,2026-09-15T02:00:00+02:00,33,9.8023,-1.6635,17.2657,False,,5.67,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T01:00:00,2026-09-15T03:00:00+02:00,34,9.7224,-2.7056,16.2241,False,,3.6,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T02:00:00,2026-09-15T04:00:00+02:00,35,9.5974,-2.4553,13.7991,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T03:00:00,2026-09-15T05:00:00+02:00,36,10.5186,-2.3786,15.3973,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T04:00:00,2026-09-15T06:00:00+02:00,37,9.382,-3.073,17.9241,False,,5.71,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T05:00:00,2026-09-15T07:00:00+02:00,38,9.619,-3.5595,19.501,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T06:00:00,2026-09-15T08:00:00+02:00,39,10.029,-2.8517,20.335,False,,5.29,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T07:00:00,2026-09-15T09:00:00+02:00,40,9.6195,-5.8848,17.3484,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T08:00:00,2026-09-15T10:00:00+02:00,41,8.5892,-7.8784,16.1241,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T09:00:00,2026-09-15T11:00:00+02:00,42,10.4,-4.3255,20.677,False,,5.67,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T10:00:00,2026-09-15T12:00:00+02:00,43,10.5137,-2.9617,21.4427,False,,1.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T11:00:00,2026-09-15T13:00:00+02:00,44,10.919,-4.7947,19.5591,False,,2.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T12:00:00,2026-09-15T14:00:00+02:00,45,10.1017,-5.3078,24.9177,False,,3.0,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T13:00:00,2026-09-15T15:00:00+02:00,46,13.5088,-2.9161,29.919,False,,5.33,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T14:00:00,2026-09-15T16:00:00+02:00,47,9.6293,-7.8846,21.2737,False,,5.14,EUR/MW
fcr_n_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-15T15:00:00,2026-09-15T17:00:00+02:00,48,10.4475,-5.5145,17.837,False,,6.0,EUR/MW
fcr_d_up_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T16:00:00,2026-09-13T18:00:00+02:00,1,2.3981,,,True,2.5,1.0,EUR/MW
fcr_d_up_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T17:00:00,2026-09-13T19:00:00+02:00,2,2.4598,,,True,2.43,1.0,EUR/MW
fcr_d_up_a2,2026-09-13T17:01:03.610894+02:00,2026-09-13T15:00:00,2026-09-13T18:00:00,2026-09-13T20:00:00+02:00,3,2.4887,,,True,2.5,1.0,EUR/MW
