series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,1,20.9987,,,True,21.0,6.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,2,19.9978,,,True,20.0,6.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,3,15.0,,,True,15.0,10.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,4,15.0,,,True,15.0,10.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,5,5.7309,,,True,6.0,10.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,6,10.0,,,True,10.0,10.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,7,10.9816,-0.5034,22.1399,False,,15.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,8,10.4484,-0.5999,20.0186,False,,11.4,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,9,9.601,-1.0015,22.2011,False,,11.4,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,10,9.3922,-2.2808,17.1194,False,,10.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,11,10.0059,-2.3221,17.788,False,,6.0,EUR/MW
fcr_n_a2,2026-09-20T17:00:51.078593+02:00,2026-09-20T15:00:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,12,11.5057,-2.6955,16.9392,False,,10.0,EUR/MW
