series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,11.8,9.0,17.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,10.6,8.5,15.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,10.6,8.5,15.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,11.3,9.0,16.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,12.0,9.5,17.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,12.5,10.0,18.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T04:00:00,2026-09-21T06:00:00+02:00,13.0,10.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T05:00:00,2026-09-21T07:00:00+02:00,12.5,9.5,18.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T06:00:00,2026-09-21T08:00:00+02:00,13.5,10.0,20.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T07:00:00,2026-09-21T09:00:00+02:00,13.0,10.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T08:00:00,2026-09-21T10:00:00+02:00,13.0,10.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T09:00:00,2026-09-21T11:00:00+02:00,13.0,10.0,20.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T10:00:00,2026-09-21T12:00:00+02:00,12.8,9.5,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T11:00:00,2026-09-21T13:00:00+02:00,12.8,9.5,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T12:00:00,2026-09-21T14:00:00+02:00,13.0,10.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T13:00:00,2026-09-21T15:00:00+02:00,14.0,10.5,21.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T14:00:00,2026-09-21T16:00:00+02:00,14.5,11.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T15:00:00,2026-09-21T17:00:00+02:00,14.0,10.5,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T16:00:00,2026-09-21T18:00:00+02:00,15.0,10.5,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T17:00:00,2026-09-21T19:00:00+02:00,16.0,11.0,24.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T18:00:00,2026-09-21T20:00:00+02:00,17.0,11.5,27.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T19:00:00,2026-09-21T21:00:00+02:00,16.0,11.0,26.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T20:00:00,2026-09-21T22:00:00+02:00,15.0,10.5,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T21:00:00,2026-09-21T23:00:00+02:00,14.5,10.0,24.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,2.3,1.0,5.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,2.3,1.0,5.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,2.1,1.0,4.5,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,2.4,1.0,5.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,2.0,0.9,4.5,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,1.8,0.8,4.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T04:00:00,2026-09-21T06:00:00+02:00,1.6,0.8,3.8,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T05:00:00,2026-09-21T07:00:00+02:00,2.3,1.0,5.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T06:00:00,2026-09-21T08:00:00+02:00,3.6,1.2,7.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T07:00:00,2026-09-21T09:00:00+02:00,3.2,1.1,6.8,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T08:00:00,2026-09-21T10:00:00+02:00,3.3,1.1,7.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T09:00:00,2026-09-21T11:00:00+02:00,3.0,1.0,6.5,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T10:00:00,2026-09-21T12:00:00+02:00,2.8,1.0,6.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T11:00:00,2026-09-21T13:00:00+02:00,2.6,1.0,5.8,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T12:00:00,2026-09-21T14:00:00+02:00,2.5,1.0,5.5,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T13:00:00,2026-09-21T15:00:00+02:00,2.6,1.0,5.8,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T14:00:00,2026-09-21T16:00:00+02:00,2.7,1.0,6.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T15:00:00,2026-09-21T17:00:00+02:00,3.2,1.1,6.8,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T16:00:00,2026-09-21T18:00:00+02:00,3.2,1.1,8.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T17:00:00,2026-09-21T19:00:00+02:00,3.4,1.1,8.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T18:00:00,2026-09-21T20:00:00+02:00,3.6,1.1,9.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T19:00:00,2026-09-21T21:00:00+02:00,3.4,1.1,9.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T20:00:00,2026-09-21T22:00:00+02:00,2.9,1.0,8.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T21:00:00,2026-09-21T23:00:00+02:00,2.6,1.0,7.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,1.6,1.0,3.2,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,1.6,1.0,3.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,1.6,1.0,3.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,2.2,1.1,4.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,2.3,1.1,4.8,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,2.9,1.2,6.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T04:00:00,2026-09-21T06:00:00+02:00,3.1,1.2,6.8,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T05:00:00,2026-09-21T07:00:00+02:00,2.7,1.1,6.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T06:00:00,2026-09-21T08:00:00+02:00,2.0,1.0,4.8,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T07:00:00,2026-09-21T09:00:00+02:00,1.6,0.8,3.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T08:00:00,2026-09-21T10:00:00+02:00,1.5,0.8,3.2,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T09:00:00,2026-09-21T11:00:00+02:00,1.6,0.9,3.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T10:00:00,2026-09-21T12:00:00+02:00,1.9,1.0,5.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T11:00:00,2026-09-21T13:00:00+02:00,2.3,1.0,6.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T12:00:00,2026-09-21T14:00:00+02:00,2.4,1.0,6.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T13:00:00,2026-09-21T15:00:00+02:00,2.6,1.1,6.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T14:00:00,2026-09-21T16:00:00+02:00,2.6,1.1,5.8,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T15:00:00,2026-09-21T17:00:00+02:00,2.7,1.1,6.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T16:00:00,2026-09-21T18:00:00+02:00,1.9,1.0,4.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T17:00:00,2026-09-21T19:00:00+02:00,1.8,1.0,4.2,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T18:00:00,2026-09-21T20:00:00+02:00,1.6,0.9,3.5,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T19:00:00,2026-09-21T21:00:00+02:00,1.7,1.0,3.8,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T20:00:00,2026-09-21T22:00:00+02:00,1.8,1.0,4.0,EUR/MW
fcr_d_down_a1,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-21T21:00:00,2026-09-21T23:00:00+02:00,1.8,1.0,4.0,EUR/MW
mfrr_cm_up,Scout,v0.1,2026-09-20T00:07:10.700099+02:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,2.5,1.4,5.0,EUR/MW
