series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T10:00:00,2026-09-20T12:00:00+02:00,1,1.5845,,,True,0.1725,28.755,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T11:00:00,2026-09-20T13:00:00+02:00,2,3.69,,,True,2.655,30.5025,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T12:00:00,2026-09-20T14:00:00+02:00,3,7.0122,,,True,6.295,32.85,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T13:00:00,2026-09-20T15:00:00+02:00,4,22.7492,,,True,22.7775,41.4075,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T14:00:00,2026-09-20T16:00:00+02:00,5,84.006,,,True,82.6725,65.165,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T15:00:00,2026-09-20T17:00:00+02:00,6,214.8027,,,True,213.6175,99.1975,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T16:00:00,2026-09-20T18:00:00+02:00,7,291.6624,,,True,292.51,160.9725,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T17:00:00,2026-09-20T19:00:00+02:00,8,379.2777,,,True,375.465,154.59,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T18:00:00,2026-09-20T20:00:00+02:00,9,368.8499,,,True,364.46,105.4975,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T19:00:00,2026-09-20T21:00:00+02:00,10,348.4271,,,True,347.2975,66.97,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T20:00:00,2026-09-20T22:00:00+02:00,11,308.4482,,,True,306.23,46.35,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T21:00:00,2026-09-20T23:00:00+02:00,12,224.271,,,True,215.225,37.8775,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,13,244.761,113.9869,331.7969,False,,12.3625,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,14,231.3921,110.6557,320.0828,False,,-2.9075,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,15,203.5722,121.5156,322.0598,False,,-4.2325,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,16,176.1606,87.0246,282.6789,False,,-4.9975,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,17,230.9547,138.4213,349.9335,False,,-6.3525,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,18,334.4833,201.8819,518.9588,False,,-4.545,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T04:00:00,2026-09-21T06:00:00+02:00,19,380.7068,216.062,568.5305,False,,-2.37,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T05:00:00,2026-09-21T07:00:00+02:00,20,433.5955,221.7695,852.5683,False,,-3.2175,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T06:00:00,2026-09-21T08:00:00+02:00,21,508.2602,302.7606,935.716,False,,11.0375,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T07:00:00,2026-09-21T09:00:00+02:00,22,461.9646,248.1198,826.0241,False,,6.4075,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T08:00:00,2026-09-21T10:00:00+02:00,23,407.9694,203.5474,631.5633,False,,-3.16,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T09:00:00,2026-09-21T11:00:00+02:00,24,390.393,149.0582,622.0392,False,,0.28,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T10:00:00,2026-09-21T12:00:00+02:00,25,399.4713,159.1892,635.7231,False,,28.755,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T11:00:00,2026-09-21T13:00:00+02:00,26,345.6386,59.5403,575.6397,False,,30.5025,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T12:00:00,2026-09-21T14:00:00+02:00,27,351.2695,126.2559,539.3181,False,,32.85,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T13:00:00,2026-09-21T15:00:00+02:00,28,400.3729,83.5074,610.5305,False,,41.4075,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T14:00:00,2026-09-21T16:00:00+02:00,29,533.0217,262.6776,820.2386,False,,65.165,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T15:00:00,2026-09-21T17:00:00+02:00,30,655.9054,365.4201,1249.5813,False,,99.1975,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T16:00:00,2026-09-21T18:00:00+02:00,31,705.1859,374.643,1373.2549,False,,160.9725,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T17:00:00,2026-09-21T19:00:00+02:00,32,535.5444,293.4968,1106.8298,False,,154.59,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T18:00:00,2026-09-21T20:00:00+02:00,33,456.7673,142.7464,960.2955,False,,105.4975,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T19:00:00,2026-09-21T21:00:00+02:00,34,428.6812,156.1436,900.3957,False,,66.97,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T20:00:00,2026-09-21T22:00:00+02:00,35,393.3434,124.3308,720.9909,False,,46.35,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T21:00:00,2026-09-21T23:00:00+02:00,36,293.7343,23.1172,557.7691,False,,37.8775,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T22:00:00,2026-09-22T00:00:00+02:00,37,392.3807,186.5643,581.1542,False,,12.3625,SEK/MWh
power_price_SE1,2026-09-20T11:00:53.224786+02:00,2026-09-20T09:00:00,2026-09-21T23:00:00,2026-09-22T01:00:00+02:00,38,426.5947,196.0829,626.1586,False,,-2.9075,SEK/MWh
