series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-20T22:00:00,2026-09-21T00:00:00+02:00,231.3921,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-20T23:00:00,2026-09-21T01:00:00+02:00,203.5722,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T00:00:00,2026-09-21T02:00:00+02:00,176.1606,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T01:00:00,2026-09-21T03:00:00+02:00,230.9547,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T02:00:00,2026-09-21T04:00:00+02:00,244.761,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T03:00:00,2026-09-21T05:00:00+02:00,293.7343,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T04:00:00,2026-09-21T06:00:00+02:00,380.7068,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T05:00:00,2026-09-21T07:00:00+02:00,433.5955,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T06:00:00,2026-09-21T08:00:00+02:00,533.0217,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T07:00:00,2026-09-21T09:00:00+02:00,508.2602,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T08:00:00,2026-09-21T10:00:00+02:00,407.9694,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T09:00:00,2026-09-21T11:00:00+02:00,399.4713,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T10:00:00,2026-09-21T12:00:00+02:00,390.393,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T11:00:00,2026-09-21T13:00:00+02:00,345.6386,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T12:00:00,2026-09-21T14:00:00+02:00,351.2695,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T13:00:00,2026-09-21T15:00:00+02:00,400.3729,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T14:00:00,2026-09-21T16:00:00+02:00,461.9646,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T15:00:00,2026-09-21T17:00:00+02:00,535.5444,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-20T11:01:12.226760+02:00,2026-09-21T16:00:00,2026-09-21T18:00:00+02:00,705.1859,,,SEK/MWh
