zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-22T00:00:00+02:00,2026-09-21T22:00:00+00:00,20.5,False,25.5,True,EUR/MWh
SE1,2026-09-22T00:15:00+02:00,2026-09-21T22:15:00+00:00,22.6,False,27.6,True,EUR/MWh
SE1,2026-09-22T00:30:00+02:00,2026-09-21T22:30:00+00:00,23.36,False,28.36,True,EUR/MWh
SE1,2026-09-22T00:45:00+02:00,2026-09-21T22:45:00+00:00,26.79,False,31.79,True,EUR/MWh
SE1,2026-09-22T01:00:00+02:00,2026-09-21T23:00:00+00:00,23.5,False,28.5,True,EUR/MWh
SE1,2026-09-22T01:15:00+02:00,2026-09-21T23:15:00+00:00,24.08,False,29.08,True,EUR/MWh
SE1,2026-09-22T01:30:00+02:00,2026-09-21T23:30:00+00:00,27.3,False,32.3,True,EUR/MWh
SE1,2026-09-22T01:45:00+02:00,2026-09-21T23:45:00+00:00,28.68,False,33.68,True,EUR/MWh
SE1,2026-09-22T02:00:00+02:00,2026-09-22T00:00:00+00:00,24.2,False,29.2,True,EUR/MWh
SE1,2026-09-22T02:15:00+02:00,2026-09-22T00:15:00+00:00,26.85,False,31.85,True,EUR/MWh
SE1,2026-09-22T02:30:00+02:00,2026-09-22T00:30:00+00:00,30.75,False,35.75,True,EUR/MWh
SE1,2026-09-22T02:45:00+02:00,2026-09-22T00:45:00+00:00,33.76,False,38.76,True,EUR/MWh
SE1,2026-09-22T03:00:00+02:00,2026-09-22T01:00:00+00:00,24.8,False,29.8,True,EUR/MWh
SE1,2026-09-22T03:15:00+02:00,2026-09-22T01:15:00+00:00,29.18,False,34.18,True,EUR/MWh
SE1,2026-09-22T03:30:00+02:00,2026-09-22T01:30:00+00:00,30.53,False,35.53,True,EUR/MWh
SE1,2026-09-22T03:45:00+02:00,2026-09-22T01:45:00+00:00,44.82,False,49.82,True,EUR/MWh
SE1,2026-09-22T04:00:00+02:00,2026-09-22T02:00:00+00:00,27.65,False,32.65,True,EUR/MWh
SE1,2026-09-22T04:15:00+02:00,2026-09-22T02:15:00+00:00,30.74,False,35.74,True,EUR/MWh
SE1,2026-09-22T04:30:00+02:00,2026-09-22T02:30:00+00:00,34.77,False,39.77,True,EUR/MWh
SE1,2026-09-22T04:45:00+02:00,2026-09-22T02:45:00+00:00,50.38,False,55.38,True,EUR/MWh
SE1,2026-09-22T05:00:00+02:00,2026-09-22T03:00:00+00:00,26.93,False,31.93,True,EUR/MWh
SE1,2026-09-22T05:15:00+02:00,2026-09-22T03:15:00+00:00,30.42,False,35.42,True,EUR/MWh
SE1,2026-09-22T05:30:00+02:00,2026-09-22T03:30:00+00:00,41.73,False,46.73,True,EUR/MWh
SE1,2026-09-22T05:45:00+02:00,2026-09-22T03:45:00+00:00,78.21,False,83.21,True,EUR/MWh
SE1,2026-09-22T06:00:00+02:00,2026-09-22T04:00:00+00:00,55.25,False,60.25,True,EUR/MWh
SE1,2026-09-22T06:15:00+02:00,2026-09-22T04:15:00+00:00,79.71,False,84.71,True,EUR/MWh
SE1,2026-09-22T06:30:00+02:00,2026-09-22T04:30:00+00:00,79.34,False,84.34,True,EUR/MWh
SE1,2026-09-22T06:45:00+02:00,2026-09-22T04:45:00+00:00,79.99,False,84.99,True,EUR/MWh
SE1,2026-09-22T07:00:00+02:00,2026-09-22T05:00:00+00:00,86.4,False,91.4,True,EUR/MWh
SE1,2026-09-22T07:15:00+02:00,2026-09-22T05:15:00+00:00,93.28,False,98.28,True,EUR/MWh
SE1,2026-09-22T07:30:00+02:00,2026-09-22T05:30:00+00:00,104.55,False,109.55,True,EUR/MWh
SE1,2026-09-22T07:45:00+02:00,2026-09-22T05:45:00+00:00,140.31,False,145.31,True,EUR/MWh
SE1,2026-09-22T08:00:00+02:00,2026-09-22T06:00:00+00:00,161.32,False,166.32,True,EUR/MWh
SE1,2026-09-22T08:15:00+02:00,2026-09-22T06:15:00+00:00,177.63,False,182.63,True,EUR/MWh
SE1,2026-09-22T08:30:00+02:00,2026-09-22T06:30:00+00:00,177.04,False,182.04,True,EUR/MWh
SE1,2026-09-22T08:45:00+02:00,2026-09-22T06:45:00+00:00,156.47,False,161.47,True,EUR/MWh
SE1,2026-09-22T09:00:00+02:00,2026-09-22T07:00:00+00:00,184.07,False,189.07,True,EUR/MWh
SE1,2026-09-22T09:15:00+02:00,2026-09-22T07:15:00+00:00,170.29,False,175.29,True,EUR/MWh
SE1,2026-09-22T09:30:00+02:00,2026-09-22T07:30:00+00:00,152.38,False,157.38,True,EUR/MWh
SE1,2026-09-22T09:45:00+02:00,2026-09-22T07:45:00+00:00,137.14,False,142.14,True,EUR/MWh
SE1,2026-09-22T10:00:00+02:00,2026-09-22T08:00:00+00:00,148.93,False,153.93,True,EUR/MWh
SE1,2026-09-22T10:15:00+02:00,2026-09-22T08:15:00+00:00,140.81,False,145.81,True,EUR/MWh
SE1,2026-09-22T10:30:00+02:00,2026-09-22T08:30:00+00:00,135.38,False,140.38,True,EUR/MWh
SE1,2026-09-22T10:45:00+02:00,2026-09-22T08:45:00+00:00,132.44,False,137.44,True,EUR/MWh
SE1,2026-09-22T11:00:00+02:00,2026-09-22T09:00:00+00:00,130.41,False,135.41,True,EUR/MWh
SE1,2026-09-22T11:15:00+02:00,2026-09-22T09:15:00+00:00,120.86,False,125.86,True,EUR/MWh
SE1,2026-09-22T11:30:00+02:00,2026-09-22T09:30:00+00:00,114.85,False,119.85,True,EUR/MWh
SE1,2026-09-22T11:45:00+02:00,2026-09-22T09:45:00+00:00,104.94,False,109.94,True,EUR/MWh
SE1,2026-09-22T12:00:00+02:00,2026-09-22T10:00:00+00:00,100.41,False,105.41,True,EUR/MWh
SE1,2026-09-22T12:15:00+02:00,2026-09-22T10:15:00+00:00,105.46,False,110.46,True,EUR/MWh
SE1,2026-09-22T12:30:00+02:00,2026-09-22T10:30:00+00:00,100.14,False,105.14,True,EUR/MWh
SE1,2026-09-22T12:45:00+02:00,2026-09-22T10:45:00+00:00,88.69,False,93.69,True,EUR/MWh
SE1,2026-09-22T13:00:00+02:00,2026-09-22T11:00:00+00:00,94.34,False,99.34,True,EUR/MWh
SE1,2026-09-22T13:15:00+02:00,2026-09-22T11:15:00+00:00,90.89,False,95.89,True,EUR/MWh
SE1,2026-09-22T13:30:00+02:00,2026-09-22T11:30:00+00:00,89.18,False,94.18,True,EUR/MWh
SE1,2026-09-22T13:45:00+02:00,2026-09-22T11:45:00+00:00,85.94,False,90.94,True,EUR/MWh
SE1,2026-09-22T14:00:00+02:00,2026-09-22T12:00:00+00:00,89.24,False,94.24,True,EUR/MWh
SE1,2026-09-22T14:15:00+02:00,2026-09-22T12:15:00+00:00,93.99,False,98.99,True,EUR/MWh
SE1,2026-09-22T14:30:00+02:00,2026-09-22T12:30:00+00:00,91.88,False,96.88,True,EUR/MWh
SE1,2026-09-22T14:45:00+02:00,2026-09-22T12:45:00+00:00,99.16,False,104.16,True,EUR/MWh
SE1,2026-09-22T15:00:00+02:00,2026-09-22T13:00:00+00:00,102.42,False,107.42,True,EUR/MWh
SE1,2026-09-22T15:15:00+02:00,2026-09-22T13:15:00+00:00,106.93,False,111.93,True,EUR/MWh
SE1,2026-09-22T15:30:00+02:00,2026-09-22T13:30:00+00:00,113.99,False,118.99,True,EUR/MWh
SE1,2026-09-22T15:45:00+02:00,2026-09-22T13:45:00+00:00,121.47,False,126.47,True,EUR/MWh
SE1,2026-09-22T16:00:00+02:00,2026-09-22T14:00:00+00:00,118.37,False,123.37,True,EUR/MWh
SE1,2026-09-22T16:15:00+02:00,2026-09-22T14:15:00+00:00,124.52,False,129.52,True,EUR/MWh
SE1,2026-09-22T16:30:00+02:00,2026-09-22T14:30:00+00:00,137.17,False,142.17,True,EUR/MWh
SE1,2026-09-22T16:45:00+02:00,2026-09-22T14:45:00+00:00,165.1,False,170.1,True,EUR/MWh
SE1,2026-09-22T17:00:00+02:00,2026-09-22T15:00:00+00:00,132.17,False,137.17,True,EUR/MWh
SE1,2026-09-22T17:15:00+02:00,2026-09-22T15:15:00+00:00,159.71,False,164.71,True,EUR/MWh
SE1,2026-09-22T17:30:00+02:00,2026-09-22T15:30:00+00:00,173.15,False,178.15,True,EUR/MWh
SE1,2026-09-22T17:45:00+02:00,2026-09-22T15:45:00+00:00,198.57,False,203.57,True,EUR/MWh
SE1,2026-09-22T18:00:00+02:00,2026-09-22T16:00:00+00:00,185.64,False,190.64,True,EUR/MWh
SE1,2026-09-22T18:15:00+02:00,2026-09-22T16:15:00+00:00,221.41,False,226.41,True,EUR/MWh
SE1,2026-09-22T18:30:00+02:00,2026-09-22T16:30:00+00:00,278.15,False,283.15,True,EUR/MWh
SE1,2026-09-22T18:45:00+02:00,2026-09-22T16:45:00+00:00,180.0,False,185.0,True,EUR/MWh
SE1,2026-09-22T19:00:00+02:00,2026-09-22T17:00:00+00:00,152.95,False,157.95,True,EUR/MWh
SE1,2026-09-22T19:15:00+02:00,2026-09-22T17:15:00+00:00,39.4,False,44.4,True,EUR/MWh
SE1,2026-09-22T19:30:00+02:00,2026-09-22T17:30:00+00:00,5.01,False,10.01,True,EUR/MWh
SE1,2026-09-22T19:45:00+02:00,2026-09-22T17:45:00+00:00,2.24,True,7.24,True,EUR/MWh
SE1,2026-09-22T20:00:00+02:00,2026-09-22T18:00:00+00:00,102.44,False,107.44,True,EUR/MWh
SE1,2026-09-22T20:15:00+02:00,2026-09-22T18:15:00+00:00,46.3,False,51.3,True,EUR/MWh
SE1,2026-09-22T20:30:00+02:00,2026-09-22T18:30:00+00:00,8.1,False,13.1,True,EUR/MWh
SE1,2026-09-22T20:45:00+02:00,2026-09-22T18:45:00+00:00,5.0,False,10.0,True,EUR/MWh
SE1,2026-09-22T21:00:00+02:00,2026-09-22T19:00:00+00:00,48.6,False,53.6,True,EUR/MWh
SE1,2026-09-22T21:15:00+02:00,2026-09-22T19:15:00+00:00,49.5,False,54.5,True,EUR/MWh
SE1,2026-09-22T21:30:00+02:00,2026-09-22T19:30:00+00:00,48.2,False,53.2,True,EUR/MWh
SE1,2026-09-22T21:45:00+02:00,2026-09-22T19:45:00+00:00,13.03,False,18.03,True,EUR/MWh
SE1,2026-09-22T22:00:00+02:00,2026-09-22T20:00:00+00:00,51.8,False,56.8,True,EUR/MWh
SE1,2026-09-22T22:15:00+02:00,2026-09-22T20:15:00+00:00,52.3,False,57.3,True,EUR/MWh
SE1,2026-09-22T22:30:00+02:00,2026-09-22T20:30:00+00:00,49.8,False,54.8,True,EUR/MWh
SE1,2026-09-22T22:45:00+02:00,2026-09-22T20:45:00+00:00,8.88,False,13.88,True,EUR/MWh
SE1,2026-09-22T23:00:00+02:00,2026-09-22T21:00:00+00:00,49.98,False,54.98,True,EUR/MWh
SE1,2026-09-22T23:15:00+02:00,2026-09-22T21:15:00+00:00,39.0,False,44.0,True,EUR/MWh
SE1,2026-09-22T23:30:00+02:00,2026-09-22T21:30:00+00:00,32.8,False,37.8,True,EUR/MWh
SE1,2026-09-22T23:45:00+02:00,2026-09-22T21:45:00+00:00,37.6,False,42.6,True,EUR/MWh
SE2,2026-09-22T00:00:00+02:00,2026-09-21T22:00:00+00:00,15.84,False,20.84,True,EUR/MWh
SE2,2026-09-22T00:15:00+02:00,2026-09-21T22:15:00+00:00,18.2,False,23.2,True,EUR/MWh
SE2,2026-09-22T00:30:00+02:00,2026-09-21T22:30:00+00:00,19.17,False,24.17,True,EUR/MWh
SE2,2026-09-22T00:45:00+02:00,2026-09-21T22:45:00+00:00,22.74,False,27.74,True,EUR/MWh
SE2,2026-09-22T01:00:00+02:00,2026-09-21T23:00:00+00:00,19.33,False,24.33,True,EUR/MWh
SE2,2026-09-22T01:15:00+02:00,2026-09-21T23:15:00+00:00,20.0,False,25.0,True,EUR/MWh
SE2,2026-09-22T01:30:00+02:00,2026-09-21T23:30:00+00:00,23.51,False,28.51,True,EUR/MWh
SE2,2026-09-22T01:45:00+02:00,2026-09-21T23:45:00+00:00,25.0,False,30.0,True,EUR/MWh
SE2,2026-09-22T02:00:00+02:00,2026-09-22T00:00:00+00:00,20.32,False,25.32,True,EUR/MWh
SE2,2026-09-22T02:15:00+02:00,2026-09-22T00:15:00+00:00,24.47,False,29.47,True,EUR/MWh
SE2,2026-09-22T02:30:00+02:00,2026-09-22T00:30:00+00:00,29.39,False,34.39,True,EUR/MWh
SE2,2026-09-22T02:45:00+02:00,2026-09-22T00:45:00+00:00,31.99,False,36.99,True,EUR/MWh
SE2,2026-09-22T03:00:00+02:00,2026-09-22T01:00:00+00:00,22.82,False,27.82,True,EUR/MWh
SE2,2026-09-22T03:15:00+02:00,2026-09-22T01:15:00+00:00,28.87,False,33.87,True,EUR/MWh
SE2,2026-09-22T03:30:00+02:00,2026-09-22T01:30:00+00:00,30.1,False,35.1,True,EUR/MWh
SE2,2026-09-22T03:45:00+02:00,2026-09-22T01:45:00+00:00,46.56,False,51.56,True,EUR/MWh
SE2,2026-09-22T04:00:00+02:00,2026-09-22T02:00:00+00:00,28.19,False,33.19,True,EUR/MWh
SE2,2026-09-22T04:15:00+02:00,2026-09-22T02:15:00+00:00,31.99,False,36.99,True,EUR/MWh
SE2,2026-09-22T04:30:00+02:00,2026-09-22T02:30:00+00:00,36.76,False,41.76,True,EUR/MWh
SE2,2026-09-22T04:45:00+02:00,2026-09-22T02:45:00+00:00,52.08,False,57.08,True,EUR/MWh
SE2,2026-09-22T05:00:00+02:00,2026-09-22T03:00:00+00:00,27.77,False,32.77,True,EUR/MWh
SE2,2026-09-22T05:15:00+02:00,2026-09-22T03:15:00+00:00,32.0,False,37.0,True,EUR/MWh
SE2,2026-09-22T05:30:00+02:00,2026-09-22T03:30:00+00:00,42.61,False,47.61,True,EUR/MWh
SE2,2026-09-22T05:45:00+02:00,2026-09-22T03:45:00+00:00,70.29,False,75.29,True,EUR/MWh
SE2,2026-09-22T06:00:00+02:00,2026-09-22T04:00:00+00:00,48.11,False,53.11,True,EUR/MWh
SE2,2026-09-22T06:15:00+02:00,2026-09-22T04:15:00+00:00,65.01,False,70.01,True,EUR/MWh
SE2,2026-09-22T06:30:00+02:00,2026-09-22T04:30:00+00:00,54.51,False,59.51,True,EUR/MWh
SE2,2026-09-22T06:45:00+02:00,2026-09-22T04:45:00+00:00,47.95,False,52.95,True,EUR/MWh
SE2,2026-09-22T07:00:00+02:00,2026-09-22T05:00:00+00:00,52.95,False,57.95,True,EUR/MWh
SE2,2026-09-22T07:15:00+02:00,2026-09-22T05:15:00+00:00,61.01,False,66.01,True,EUR/MWh
SE2,2026-09-22T07:30:00+02:00,2026-09-22T05:30:00+00:00,76.5,False,81.5,True,EUR/MWh
