series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T16:00:00,2026-09-23T18:00:00+02:00,1,10.0,,,True,10.0,50.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T17:00:00,2026-09-23T19:00:00+02:00,2,10.0,,,True,10.0,50.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T18:00:00,2026-09-23T20:00:00+02:00,3,7.9304,,,True,8.0,50.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T19:00:00,2026-09-23T21:00:00+02:00,4,10.0,,,True,10.0,19.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T20:00:00,2026-09-23T22:00:00+02:00,5,11.0,,,True,11.0,21.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T21:00:00,2026-09-23T23:00:00+02:00,6,11.0001,,,True,11.0,19.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T22:00:00,2026-09-24T00:00:00+02:00,7,17.0531,5.5681,28.2113,False,,11.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-23T23:00:00,2026-09-24T01:00:00+02:00,8,14.5532,3.505,24.1234,False,,11.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-24T00:00:00,2026-09-24T02:00:00+02:00,9,14.6719,4.0694,27.272,False,,11.0,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-24T01:00:00,2026-09-24T03:00:00+02:00,10,13.3776,1.7046,21.1049,False,,13.52,EUR/MW
fcr_n_a2,2026-09-23T17:00:52.005561+02:00,2026-09-23T15:00:00,2026-09-24T02:00:00,2026-09-24T04:00:00+02:00,11,14.749,2.421,22.5311,False,,10.8,EUR/MW
