series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,7.0,3.0,14.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,6.5,3.0,13.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,6.0,2.5,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,5.5,2.0,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,6.0,2.5,13.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,6.5,3.0,14.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,7.0,3.0,15.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,7.5,3.5,16.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T06:00:00,2026-09-19T08:00:00+02:00,9.0,4.0,20.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T07:00:00,2026-09-19T09:00:00+02:00,9.0,4.0,18.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T08:00:00,2026-09-19T10:00:00+02:00,8.5,3.5,18.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-18T17:08:55.827254+02:00,2026-09-19T09:00:00,2026-09-19T11:00:00+02:00,8.0,3.0,17.0,EUR/MW
