series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-17T23:00:00,2026-09-18T01:00:00+02:00,1,9.8615,,,True,9.7,9.76,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T00:00:00,2026-09-18T02:00:00+02:00,2,9.8458,,,True,9.7,9.8,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T01:00:00,2026-09-18T03:00:00+02:00,3,12.3192,,,True,12.03,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T02:00:00,2026-09-18T04:00:00+02:00,4,13.0,,,True,13.0,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T03:00:00,2026-09-18T05:00:00+02:00,5,13.0,,,True,13.0,12.9,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T04:00:00,2026-09-18T06:00:00+02:00,6,12.3565,,,True,12.2,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T05:00:00,2026-09-18T07:00:00+02:00,7,10.5927,,,True,10.7,10.67,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T06:00:00,2026-09-18T08:00:00+02:00,8,10.1134,,,True,10.13,11.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T07:00:00,2026-09-18T09:00:00+02:00,9,10.661,,,True,10.6,10.61,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T08:00:00,2026-09-18T10:00:00+02:00,10,10.9971,,,True,11.0,11.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T09:00:00,2026-09-18T11:00:00+02:00,11,11.0,,,True,11.0,11.64,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T10:00:00,2026-09-18T12:00:00+02:00,12,11.0,,,True,11.0,12.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T11:00:00,2026-09-18T13:00:00+02:00,13,10.6189,,,True,10.53,12.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T12:00:00,2026-09-18T14:00:00+02:00,14,10.6999,,,True,10.64,12.41,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T13:00:00,2026-09-18T15:00:00+02:00,15,11.9334,,,True,11.8,13.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T14:00:00,2026-09-18T16:00:00+02:00,16,12.2674,,,True,12.03,15.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T15:00:00,2026-09-18T17:00:00+02:00,17,11.0004,,,True,11.0,13.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T16:00:00,2026-09-18T18:00:00+02:00,18,12.2384,,,True,12.21,12.06,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T17:00:00,2026-09-18T19:00:00+02:00,19,12.2609,,,True,12.21,12.06,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T18:00:00,2026-09-18T20:00:00+02:00,20,12.9844,,,True,13.0,11.29,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T19:00:00,2026-09-18T21:00:00+02:00,21,17.0323,,,True,17.0,12.66,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T20:00:00,2026-09-18T22:00:00+02:00,22,17.004,,,True,17.0,12.66,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T21:00:00,2026-09-18T23:00:00+02:00,23,16.9369,,,True,17.0,13.2,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,24,10.399,1.2453,16.3453,False,,11.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,25,11.3212,1.4227,16.4753,False,,9.76,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,26,11.8846,2.0961,17.7575,False,,9.8,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,27,12.3815,4.0607,18.4055,False,,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,28,13.2661,5.405,20.4792,False,,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,29,13.641,5.802,18.7706,False,,12.9,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,30,13.1711,5.517,19.125,False,,12.19,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,31,13.4932,4.3468,19.2173,False,,10.67,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T06:00:00,2026-09-19T08:00:00+02:00,32,12.8476,4.6877,19.2069,False,,11.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T07:00:00,2026-09-19T09:00:00+02:00,33,14.3998,6.7674,21.4717,False,,10.61,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T08:00:00,2026-09-19T10:00:00+02:00,34,14.4016,5.1808,18.954,False,,11.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T09:00:00,2026-09-19T11:00:00+02:00,35,14.2959,6.0573,20.1524,False,,11.64,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T10:00:00,2026-09-19T12:00:00+02:00,36,13.5232,4.7683,20.1835,False,,12.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T11:00:00,2026-09-19T13:00:00+02:00,37,13.9419,5.912,18.4727,False,,12.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T12:00:00,2026-09-19T14:00:00+02:00,38,13.7391,6.1725,18.4392,False,,12.41,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T13:00:00,2026-09-19T15:00:00+02:00,39,12.996,4.3284,20.1086,False,,13.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T14:00:00,2026-09-19T16:00:00+02:00,40,13.4139,6.8223,20.6701,False,,15.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T15:00:00,2026-09-19T17:00:00+02:00,41,13.5053,5.8422,20.0719,False,,13.0,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T16:00:00,2026-09-19T18:00:00+02:00,42,13.113,5.5547,18.242,False,,12.06,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T17:00:00,2026-09-19T19:00:00+02:00,43,13.3303,5.4395,18.301,False,,12.06,EUR/MW
fcr_n_a1,2026-09-18T00:00:59.086640+02:00,2026-09-17T22:00:00,2026-09-19T18:00:00,2026-09-19T20:00:00+02:00,44,13.3966,4.738,19.5591,False,,11.29,EUR/MW
