series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T16:00:00,2026-09-18T18:00:00+02:00,1,5.9502,,,True,6.0,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T17:00:00,2026-09-18T19:00:00+02:00,2,10.0,,,True,10.0,21.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T18:00:00,2026-09-18T20:00:00+02:00,3,10.0,,,True,10.0,8.3,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T19:00:00,2026-09-18T21:00:00+02:00,4,25.0,,,True,25.0,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T20:00:00,2026-09-18T22:00:00+02:00,5,24.8489,,,True,25.0,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T21:00:00,2026-09-18T23:00:00+02:00,6,25.0171,,,True,25.0,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,7,14.711,3.226,25.8692,False,,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,8,13.3491,2.3008,22.9192,False,,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,9,15.683,5.0805,28.2831,False,,10.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,10,14.7278,3.0548,22.4551,False,,12.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,11,14.3064,1.9784,22.0885,False,,21.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,12,12.4931,-1.7081,17.9266,False,,25.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,13,14.9342,1.7912,26.3214,False,,21.0,EUR/MW
fcr_n_a2,2026-09-18T17:03:28.419963+02:00,2026-09-18T15:00:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,14,14.6585,1.7096,24.122,False,,11.9,EUR/MW
