series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-17T22:00:00,2026-09-18T00:00:00+02:00,12.0,8.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-17T23:00:00,2026-09-18T01:00:00+02:00,11.0,8.0,18.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T00:00:00,2026-09-18T02:00:00+02:00,11.0,8.0,18.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T01:00:00,2026-09-18T03:00:00+02:00,11.0,8.0,18.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T02:00:00,2026-09-18T04:00:00+02:00,12.0,9.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T03:00:00,2026-09-18T05:00:00+02:00,12.0,9.0,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T04:00:00,2026-09-18T06:00:00+02:00,13.0,9.0,20.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T05:00:00,2026-09-18T07:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T06:00:00,2026-09-18T08:00:00+02:00,16.0,11.0,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T07:00:00,2026-09-18T09:00:00+02:00,15.0,10.0,24.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T08:00:00,2026-09-18T10:00:00+02:00,15.0,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T09:00:00,2026-09-18T11:00:00+02:00,15.0,10.0,24.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T10:00:00,2026-09-18T12:00:00+02:00,14.0,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T11:00:00,2026-09-18T13:00:00+02:00,14.0,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T12:00:00,2026-09-18T14:00:00+02:00,15.0,10.0,24.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T13:00:00,2026-09-18T15:00:00+02:00,16.0,11.0,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-17T00:06:17.073031+02:00,2026-09-18T14:00:00,2026-09-18T16:00:00+02:00,17.0,12.0,27.0,EUR/MW
