series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T16:00:00,2026-09-17T18:00:00+02:00,1,10.0,,,True,10.0,9.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T17:00:00,2026-09-17T19:00:00+02:00,2,20.9893,,,True,21.0,8.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T18:00:00,2026-09-17T20:00:00+02:00,3,8.2522,,,True,8.3,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T19:00:00,2026-09-17T21:00:00+02:00,4,10.0,,,True,10.0,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T20:00:00,2026-09-17T22:00:00+02:00,5,10.0,,,True,10.0,5.57,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T21:00:00,2026-09-17T23:00:00+02:00,6,10.0,,,True,10.0,5.86,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T22:00:00,2026-09-18T00:00:00+02:00,7,10.4848,-1.0002,21.6431,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-17T23:00:00,2026-09-18T01:00:00+02:00,8,10.2812,-0.7671,19.8514,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T00:00:00,2026-09-18T02:00:00+02:00,9,8.623,-1.9795,21.223,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T01:00:00,2026-09-18T03:00:00+02:00,10,7.8948,-3.7782,15.622,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T02:00:00,2026-09-18T04:00:00+02:00,11,9.9821,-2.346,17.7642,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T03:00:00,2026-09-18T05:00:00+02:00,12,8.4478,-5.7533,13.8813,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T04:00:00,2026-09-18T06:00:00+02:00,13,8.6215,-4.5215,20.0087,False,,10.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T05:00:00,2026-09-18T07:00:00+02:00,14,8.572,-4.3769,18.0354,False,,7.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T06:00:00,2026-09-18T08:00:00+02:00,15,9.4974,-3.3562,20.5396,False,,17.4,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T07:00:00,2026-09-18T09:00:00+02:00,16,8.3751,-6.5602,16.0345,False,,10.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T08:00:00,2026-09-18T10:00:00+02:00,17,8.2254,-6.1405,15.4492,False,,10.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T09:00:00,2026-09-18T11:00:00+02:00,18,8.9374,-5.3361,19.5291,False,,8.4,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T10:00:00,2026-09-18T12:00:00+02:00,19,7.8899,-6.1903,20.0378,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T11:00:00,2026-09-18T13:00:00+02:00,20,8.0048,-6.453,20.1974,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T12:00:00,2026-09-18T14:00:00+02:00,21,7.9014,-6.0298,25.1161,False,,10.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T13:00:00,2026-09-18T15:00:00+02:00,22,7.8442,-6.2395,18.2984,False,,35.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T14:00:00,2026-09-18T16:00:00+02:00,23,7.495,-6.9043,20.1616,False,,30.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T15:00:00,2026-09-18T17:00:00+02:00,24,9.17,-5.4962,18.2978,False,,12.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T16:00:00,2026-09-18T18:00:00+02:00,25,9.2555,-5.6398,14.362,False,,9.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T17:00:00,2026-09-18T19:00:00+02:00,26,9.1093,-3.8829,16.6453,False,,8.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T18:00:00,2026-09-18T20:00:00+02:00,27,7.4352,-6.2785,13.0112,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T19:00:00,2026-09-18T21:00:00+02:00,28,9.0874,-3.7506,16.0792,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T20:00:00,2026-09-18T22:00:00+02:00,29,8.307,-3.9541,18.9003,False,,5.57,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T21:00:00,2026-09-18T23:00:00+02:00,30,8.7758,0.1449,19.4275,False,,5.86,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,31,8.0055,-4.5769,19.5822,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,32,7.6934,-3.1591,17.2346,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,33,8.2036,-3.2622,15.667,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,34,8.0471,-4.3809,14.5488,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,35,9.4322,-2.6205,13.6339,False,,6.0,EUR/MW
fcr_n_a2,2026-09-17T17:01:39.971345+02:00,2026-09-17T15:00:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,36,9.6327,-3.2644,14.5115,False,,6.0,EUR/MW
