zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-18T00:00:00+02:00,2026-09-17T22:00:00+00:00,31.36,False,36.36,True,EUR/MWh
SE1,2026-09-18T00:15:00+02:00,2026-09-17T22:15:00+00:00,29.99,False,34.99,True,EUR/MWh
SE1,2026-09-18T00:30:00+02:00,2026-09-17T22:30:00+00:00,26.64,False,31.64,True,EUR/MWh
SE1,2026-09-18T00:45:00+02:00,2026-09-17T22:45:00+00:00,27.04,False,32.04,True,EUR/MWh
SE1,2026-09-18T01:00:00+02:00,2026-09-17T23:00:00+00:00,26.71,False,31.71,True,EUR/MWh
SE1,2026-09-18T01:15:00+02:00,2026-09-17T23:15:00+00:00,29.08,False,34.08,True,EUR/MWh
SE1,2026-09-18T01:30:00+02:00,2026-09-17T23:30:00+00:00,29.77,False,34.77,True,EUR/MWh
SE1,2026-09-18T01:45:00+02:00,2026-09-17T23:45:00+00:00,29.95,False,34.95,True,EUR/MWh
SE1,2026-09-18T02:00:00+02:00,2026-09-18T00:00:00+00:00,27.16,False,32.16,True,EUR/MWh
SE1,2026-09-18T02:15:00+02:00,2026-09-18T00:15:00+00:00,28.02,False,33.02,True,EUR/MWh
SE1,2026-09-18T02:30:00+02:00,2026-09-18T00:30:00+00:00,29.99,False,34.99,True,EUR/MWh
SE1,2026-09-18T02:45:00+02:00,2026-09-18T00:45:00+00:00,32.43,False,37.43,True,EUR/MWh
SE1,2026-09-18T03:00:00+02:00,2026-09-18T01:00:00+00:00,26.77,False,31.77,True,EUR/MWh
SE1,2026-09-18T03:15:00+02:00,2026-09-18T01:15:00+00:00,30.0,False,35.0,True,EUR/MWh
SE1,2026-09-18T03:30:00+02:00,2026-09-18T01:30:00+00:00,30.25,False,35.25,True,EUR/MWh
SE1,2026-09-18T03:45:00+02:00,2026-09-18T01:45:00+00:00,32.88,False,37.88,True,EUR/MWh
SE1,2026-09-18T04:00:00+02:00,2026-09-18T02:00:00+00:00,27.65,False,32.65,True,EUR/MWh
SE1,2026-09-18T04:15:00+02:00,2026-09-18T02:15:00+00:00,27.59,False,32.59,True,EUR/MWh
SE1,2026-09-18T04:30:00+02:00,2026-09-18T02:30:00+00:00,32.8,False,37.8,True,EUR/MWh
