series,issued_at_local,feature_row_utc,target_utc,target_local,horizon_h,forecast,p10,p90,published_at_issue,published_value,naive_same_hour_yesterday,unit
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T10:00:00,2026-09-17T12:00:00+02:00,1,177.5502,,,True,176.565,89.915,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T11:00:00,2026-09-17T13:00:00+02:00,2,152.3581,,,True,153.5375,90.1675,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T12:00:00,2026-09-17T14:00:00+02:00,3,190.6633,,,True,188.02,78.0825,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T13:00:00,2026-09-17T15:00:00+02:00,4,315.3351,,,True,317.7375,105.92,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T14:00:00,2026-09-17T16:00:00+02:00,5,400.7513,,,True,402.5925,81.435,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T15:00:00,2026-09-17T17:00:00+02:00,6,503.5535,,,True,510.1325,110.6825,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T16:00:00,2026-09-17T18:00:00+02:00,7,600.7318,,,True,592.5875,224.6075,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T17:00:00,2026-09-17T19:00:00+02:00,8,548.6667,,,True,553.8425,270.79,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T18:00:00,2026-09-17T20:00:00+02:00,9,460.8455,,,True,454.2025,246.725,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T19:00:00,2026-09-17T21:00:00+02:00,10,420.9367,,,True,419.325,218.6,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T20:00:00,2026-09-17T22:00:00+02:00,11,403.454,,,True,403.155,158.2725,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T21:00:00,2026-09-17T23:00:00+02:00,12,427.2513,,,True,425.9275,101.045,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T22:00:00,2026-09-18T00:00:00+02:00,13,488.7816,358.0075,575.8175,False,,74.47,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-17T23:00:00,2026-09-18T01:00:00+02:00,14,465.1522,344.4158,553.8429,False,,85.6975,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T00:00:00,2026-09-18T02:00:00+02:00,15,483.2853,401.2287,601.7729,False,,94.08,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T01:00:00,2026-09-18T03:00:00+02:00,16,471.8022,382.6663,578.3206,False,,93.4025,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T02:00:00,2026-09-18T04:00:00+02:00,17,488.3558,395.8224,607.3347,False,,106.5525,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T03:00:00,2026-09-18T05:00:00+02:00,18,538.58,405.9786,723.0556,False,,176.3075,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T04:00:00,2026-09-18T06:00:00+02:00,19,698.6378,533.993,886.4616,False,,224.1125,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T05:00:00,2026-09-18T07:00:00+02:00,20,839.5413,627.7153,1258.5141,False,,306.96,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T06:00:00,2026-09-18T08:00:00+02:00,21,869.3965,663.8969,1296.8523,False,,338.5925,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T07:00:00,2026-09-18T09:00:00+02:00,22,765.0575,551.2127,1129.1171,False,,360.375,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T08:00:00,2026-09-18T10:00:00+02:00,23,731.4057,526.9838,954.9996,False,,349.0925,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T09:00:00,2026-09-18T11:00:00+02:00,24,664.9156,423.5808,896.5618,False,,296.235,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T10:00:00,2026-09-18T12:00:00+02:00,25,572.9351,332.653,809.187,False,,89.915,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T11:00:00,2026-09-18T13:00:00+02:00,26,490.3355,204.2372,720.3366,False,,90.1675,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T12:00:00,2026-09-18T14:00:00+02:00,27,548.4985,323.485,736.5472,False,,78.0825,SEK/MWh
power_price_SE1,2026-09-17T11:01:05.563536+02:00,2026-09-17T09:00:00,2026-09-18T13:00:00,2026-09-18T15:00:00+02:00,28,585.0202,268.1547,795.1778,False,,105.92,SEK/MWh
