series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-17T22:00:00,2026-09-18T00:00:00+02:00,7.0,3.0,13.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-17T23:00:00,2026-09-18T01:00:00+02:00,6.5,3.0,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T00:00:00,2026-09-18T02:00:00+02:00,6.0,3.0,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T01:00:00,2026-09-18T03:00:00+02:00,6.0,3.0,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T02:00:00,2026-09-18T04:00:00+02:00,6.0,3.0,12.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T03:00:00,2026-09-18T05:00:00+02:00,7.0,3.5,15.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T04:00:00,2026-09-18T06:00:00+02:00,9.0,5.0,18.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T05:00:00,2026-09-18T07:00:00+02:00,10.0,5.0,22.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T06:00:00,2026-09-18T08:00:00+02:00,15.0,6.0,38.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T07:00:00,2026-09-18T09:00:00+02:00,11.0,5.0,25.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T08:00:00,2026-09-18T10:00:00+02:00,10.0,5.0,24.0,EUR/MW
fcr_n_a2,Scout,v0.1,2026-09-17T17:08:15.345457+02:00,2026-09-18T09:00:00,2026-09-18T11:00:00+02:00,9.0,4.0,20.0,EUR/MW
