series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-16T22:00:00,2026-09-17T00:00:00+02:00,169.4907,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-16T23:00:00,2026-09-17T01:00:00+02:00,143.5856,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T00:00:00,2026-09-17T02:00:00+02:00,143.3942,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T01:00:00,2026-09-17T03:00:00+02:00,147.2969,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T02:00:00,2026-09-17T04:00:00+02:00,176.4614,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T03:00:00,2026-09-17T05:00:00+02:00,178.0519,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T04:00:00,2026-09-17T06:00:00+02:00,290.0422,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T05:00:00,2026-09-17T07:00:00+02:00,382.5457,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T06:00:00,2026-09-17T08:00:00+02:00,385.3573,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T07:00:00,2026-09-17T09:00:00+02:00,423.0221,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T08:00:00,2026-09-17T10:00:00+02:00,414.1647,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-16T11:12:18.750534+02:00,2026-09-17T09:00:00,2026-09-17T11:00:00+02:00,378.2896,,,SEK/MWh
