zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-25T00:00:00+02:00,2026-09-24T22:00:00+00:00,35.35,False,40.35,True,EUR/MWh
SE1,2026-09-25T00:15:00+02:00,2026-09-24T22:15:00+00:00,28.4,False,33.4,True,EUR/MWh
SE1,2026-09-25T00:30:00+02:00,2026-09-24T22:30:00+00:00,35.21,False,40.21,True,EUR/MWh
SE1,2026-09-25T00:45:00+02:00,2026-09-24T22:45:00+00:00,39.12,False,44.12,True,EUR/MWh
SE1,2026-09-25T01:00:00+02:00,2026-09-24T23:00:00+00:00,33.04,False,38.04,True,EUR/MWh
SE1,2026-09-25T01:15:00+02:00,2026-09-24T23:15:00+00:00,35.93,False,40.93,True,EUR/MWh
SE1,2026-09-25T01:30:00+02:00,2026-09-24T23:30:00+00:00,34.0,False,39.0,True,EUR/MWh
SE1,2026-09-25T01:45:00+02:00,2026-09-24T23:45:00+00:00,34.69,False,39.69,True,EUR/MWh
SE1,2026-09-25T02:00:00+02:00,2026-09-25T00:00:00+00:00,34.08,False,39.08,True,EUR/MWh
SE1,2026-09-25T02:15:00+02:00,2026-09-25T00:15:00+00:00,35.04,False,40.04,True,EUR/MWh
SE1,2026-09-25T02:30:00+02:00,2026-09-25T00:30:00+00:00,34.97,False,39.97,True,EUR/MWh
SE1,2026-09-25T02:45:00+02:00,2026-09-25T00:45:00+00:00,35.68,False,40.68,True,EUR/MWh
SE1,2026-09-25T03:00:00+02:00,2026-09-25T01:00:00+00:00,34.89,False,39.89,True,EUR/MWh
SE1,2026-09-25T03:15:00+02:00,2026-09-25T01:15:00+00:00,35.53,False,40.53,True,EUR/MWh
SE1,2026-09-25T03:30:00+02:00,2026-09-25T01:30:00+00:00,34.18,False,39.18,True,EUR/MWh
SE1,2026-09-25T03:45:00+02:00,2026-09-25T01:45:00+00:00,36.32,False,41.32,True,EUR/MWh
SE1,2026-09-25T04:00:00+02:00,2026-09-25T02:00:00+00:00,30.04,False,35.04,True,EUR/MWh
SE1,2026-09-25T04:15:00+02:00,2026-09-25T02:15:00+00:00,35.37,False,40.37,True,EUR/MWh
SE1,2026-09-25T04:30:00+02:00,2026-09-25T02:30:00+00:00,36.45,False,41.45,True,EUR/MWh
SE1,2026-09-25T04:45:00+02:00,2026-09-25T02:45:00+00:00,40.35,False,45.35,True,EUR/MWh
SE1,2026-09-25T05:00:00+02:00,2026-09-25T03:00:00+00:00,32.11,False,37.11,True,EUR/MWh
SE1,2026-09-25T05:15:00+02:00,2026-09-25T03:15:00+00:00,35.45,False,40.45,True,EUR/MWh
SE1,2026-09-25T05:30:00+02:00,2026-09-25T03:30:00+00:00,39.21,False,44.21,True,EUR/MWh
SE1,2026-09-25T05:45:00+02:00,2026-09-25T03:45:00+00:00,49.77,False,54.77,True,EUR/MWh
SE1,2026-09-25T06:00:00+02:00,2026-09-25T04:00:00+00:00,30.2,False,35.2,True,EUR/MWh
SE1,2026-09-25T06:15:00+02:00,2026-09-25T04:15:00+00:00,39.85,False,44.85,True,EUR/MWh
SE1,2026-09-25T06:30:00+02:00,2026-09-25T04:30:00+00:00,53.39,False,58.39,True,EUR/MWh
SE1,2026-09-25T06:45:00+02:00,2026-09-25T04:45:00+00:00,63.17,False,68.17,True,EUR/MWh
SE1,2026-09-25T07:00:00+02:00,2026-09-25T05:00:00+00:00,37.63,False,42.63,True,EUR/MWh
SE1,2026-09-25T07:15:00+02:00,2026-09-25T05:15:00+00:00,44.5,False,49.5,True,EUR/MWh
SE1,2026-09-25T07:30:00+02:00,2026-09-25T05:30:00+00:00,49.91,False,54.91,True,EUR/MWh
SE1,2026-09-25T07:45:00+02:00,2026-09-25T05:45:00+00:00,77.6,False,82.6,True,EUR/MWh
SE1,2026-09-25T08:00:00+02:00,2026-09-25T06:00:00+00:00,44.91,False,49.91,True,EUR/MWh
SE1,2026-09-25T08:15:00+02:00,2026-09-25T06:15:00+00:00,60.36,False,65.36,True,EUR/MWh
SE1,2026-09-25T08:30:00+02:00,2026-09-25T06:30:00+00:00,78.18,False,83.18,True,EUR/MWh
SE1,2026-09-25T08:45:00+02:00,2026-09-25T06:45:00+00:00,89.46,False,94.46,True,EUR/MWh
SE1,2026-09-25T09:00:00+02:00,2026-09-25T07:00:00+00:00,61.33,False,66.33,True,EUR/MWh
